workspace,campaign_name,campaign_id,campaign_status,created,leads_count,completed_count,new_leads_contacted_count,emails_sent_count,reply_count,reply_count_unique,open_count,open_count_unique,bounced_count,unsubscribed_count
1,Global - Manychat Scraped Lists,5115b4c1-0ad4-40fa-b79c-e2e709014165,-1,2025-06-10T12:31:42.098Z,0,0,4782,13808,157,138,13217,9508,199,0
1,Global Influencer Videos- Retargeting,e0bd6627-f001-4f96-8520-25d2b26b592b,3,2026-07-13T07:43:26.251Z,2733,2509,2732,10470,162,158,10095,6602,224,0
1,Global IG Collab_Rijul_December Campaign,7d2c93a7-b444-4958-8f0b-191104678f83,3,2025-12-01T09:55:28.289Z,653,465,2680,9824,756,705,19102,10348,194,0
1,Sid_Feb IG Global,5f5c2cdd-58b4-4dd0-a45a-735f351b9668,3,2026-02-06T06:28:03.530Z,2413,2310,2436,9408,156,149,9394,6505,103,0
1,Global IG Collab_Rijul_January,2d2eb619-4e26-4344-8e70-4cf04f223268,3,2026-01-02T12:51:48.351Z,2399,2361,2437,9400,350,321,12137,7596,41,0
1,Global IG Collab_Sid_December_2025,0fffb367-5d3b-4655-8f1b-316c7c7c8f7b,3,2025-12-01T11:12:03.652Z,331,331,2366,8789,420,403,7731,5045,95,0
1,Global SMM Outreach- Outbound (July),d3209566-fb2b-49b0-b9a5-0d624cbd276c,3,2026-07-01T20:04:24.789Z,1970,1767,1970,6820,342,326,7776,4714,203,0
1,Global - IG collab_Rijul,ed1a9d75-61a4-4e6a-b05f-3359a8ef223a,3,2025-10-14T10:05:06.883Z,637,561,2010,6799,1124,1035,31027,10322,85,0
1,Global - IG collab_Siddharth,43b2f3f8-5592-4c20-98df-5ecd82aab0f9,3,2025-10-13T11:05:28.178Z,621,523,1803,5992,759,713,22298,7974,104,0
1,SuperProfile Global- New Leads (June),c3b2db70-0d10-45da-987c-74caf0a1512e,3,2026-06-03T17:13:02.749Z,1592,1487,1592,5429,582,541,6923,4253,106,0
1,Global IG_SID_Jan,50171226-320d-49ca-917f-0cae5e22b198,3,2026-01-02T13:03:51.206Z,1393,1353,1393,4992,430,401,10748,5480,40,0
1,Global SMM Outreach- Outbound (August),f1bc6e13-ad1d-4869-a41a-00f89c609de0,1,2026-08-05T12:40:57.917Z,1171,1129,1170,4523,34,34,3535,2453,41,0
1,Partnership - Bundle Offer,fd41b15c-b9bf-4c6a-9f6b-5b67c4232b89,3,2025-11-19T11:25:26.230Z,1070,1018,1272,3466,217,194,4747,2823,60,0
1,Global SMM Outreach- Outbound,f98d7be2-f20e-4bc2-a0f7-dc2ac2192386,3,2026-06-06T10:06:19.893Z,194,182,994,3434,253,249,4401,2560,73,0
1,Global - Reel Collab September 2025,4162bd61-df26-4a46-8162-245d50321b62,3,2025-09-09T11:32:31.625Z,0,0,1060,3380,420,400,9532,4470,35,0
1,SuperProfile Global- New Leads,4d948e08-01c6-463a-89f4-a920fe0f729b,3,2026-04-23T07:31:29.799Z,978,934,977,3063,586,544,4831,2866,44,0
1,Global Influencer Videos- New Leads,c87e09e2-e0d0-4770-ae1c-6a8d542189eb,3,2026-07-13T07:43:25.768Z,877,831,877,2846,548,521,4223,2320,47,0
1,Others - AutoDM Waitlist (Working),0c03372f-9a8a-46a7-af72-2f085f10455f,2,2025-04-28T09:14:53.492Z,0,0,1303,2512,74,65,3676,1819,39,0
1,March Sid Global,c1569d39-03bf-453b-999e-3d5c21ec6389,3,2026-03-05T06:53:35.653Z,569,555,569,2191,48,48,2527,1728,14,0
1,India - Instagram (Astro CAT Leads),2127202e-2439-48c2-a097-1abd3d45e760,3,2025-05-23T12:01:10.659Z,0,0,550,2056,22,20,2390,1449,48,0
1,SuperProfile Global- Creator Coaches (July),9939933f-f708-499b-a4e9-ac5a8d667126,3,2026-07-01T20:02:37.083Z,550,502,550,1882,138,134,2173,1334,48,0
1,YouTube Global 2026,f78fa5a2-27a0-4755-bc30-b45f51211b66,1,2026-07-02T11:33:13.637Z,598,578,597,1679,114,101,1406,937,16,0
1,Global - Reel Collab,737c07fb-d6ea-4880-99cb-760a8149f092,1,2025-05-30T09:57:21.559Z,34,30,306,1617,98,76,3269,1589,5,0
1,Global - Alexei Comments,5613e336-ae1d-4113-b1b0-d7f27ccfdbec,-1,2025-07-25T13:21:15.547Z,0,0,382,1500,14,10,1541,1108,6,0
1,TikTok November,58c11fa4-5385-468e-99f2-b9d32f5c01e0,3,2025-11-15T10:47:11.258Z,365,354,367,1297,173,155,3242,1302,11,0
1,Global Influencer Videos- New Leads (August),0d99c454-d9bb-4b1b-9e53-89ab94bd1018,1,2026-08-10T20:17:24.937Z,338,227,338,1060,90,89,1071,632,9,0
1,Global SMM Outreach- Follow Up campaign,7d2c02ca-9b9f-4d0b-a405-2885cbdb374c,1,2026-08-21T16:08:09.537Z,274,272,274,1002,44,44,954,606,1,0
1,Global SMM Outreach- Savannah,aaa37c7a-a1ca-4845-afdc-aee73bb92164,3,2026-06-06T10:06:27.626Z,264,252,326,992,93,92,1222,683,13,0
1,YouTube Domestic 2026,bb745b1c-3c23-4dc8-bee5-2ecec1a5dd30,1,2026-08-27T07:37:22.550Z,503,471,481,946,12,12,147,78,0,0
1,Global - Instagram (Medha),ed4d2b3f-489a-4087-8e78-11d565801c29,-1,2025-05-05T15:49:47.087Z,0,0,370,936,202,175,3856,1998,7,0
1,Inbound-Activation,7f3a85f0-4d38-49e8-bf73-f0345d32a3ac,3,2026-06-05T06:27:22.933Z,236,229,236,924,13,13,874,550,7,0
1,Carson Comments,2f0d1798-257a-4a99-a370-0246b32a4933,-1,2025-07-18T17:33:41.665Z,0,0,920,920,2,1,470,388,70,0
1,Global - Community Partnership,43ba2e6f-323f-49e1-8a17-3261a3964592,2,2025-06-25T19:12:32.741Z,0,0,417,868,24,23,824,486,47,0
1,Global - Youtube (Workflows),74ce165f-f479-41b6-822a-efc03d8b5d51,1,2025-05-26T06:39:37.677Z,0,0,211,800,40,38,1285,690,1,0
1,Global - YouTube Collab September 2025,b320ab32-3c27-4e67-b9ef-ab8600e1eebe,2,2025-09-09T11:35:30.017Z,0,0,255,642,77,68,0,0,15,0
1,Inbound- SMBs,c9830fc3-40dc-4eac-ba49-c0005fe24e2c,3,2026-06-06T10:41:10.538Z,130,127,130,509,6,6,511,343,3,0
1,Global - Grow on Instagram (Comments),43a6e560-d6f1-4278-b16d-d9d62cd9f40a,2,2025-06-24T10:30:15.008Z,0,0,328,328,0,0,264,222,1,0
1,March Rijul Global,3b469600-e522-458d-abe5-2db0c82ed225,3,2026-03-05T12:37:45.294Z,86,84,86,278,82,78,813,335,2,0
1,Global - Camila's comments,a6b04dc5-6103-4871-a5e8-35d964a2fee2,-1,2025-06-11T13:01:55.121Z,0,0,139,272,2,2,424,282,6,0
1,Activation- hi.boly,c2170cab-1458-4f5f-af35-fd7ac9f3866a,3,2026-06-19T10:25:59.955Z,73,67,73,269,5,5,285,164,6,0
1,Global - Skool community (Partnerships),6b4b6e94-a870-4ee2-afd7-dbede9faf45e,3,2025-09-10T10:16:55.023Z,37,33,145,267,15,13,498,248,12,0
1,IG Commenters – Gakuyen Claude DM Reel (DbVe-efT2g9),3ae4e6b1-1026-44a5-a0cd-f58259b8baa8,1,2026-09-01T13:56:00.042Z,145,0,145,264,0,0,29,14,2,0
1,Global - Social Media (Stan/Beacons),96ebd41b-a894-42aa-a3b3-075a1caaa0ba,-2,2025-06-20T12:45:08.182Z,0,0,111,242,1,1,175,128,24,0
1,Global - Parenting Coaches,5091f3a8-01eb-4a6e-9686-35536dab4ccd,2,2025-06-19T17:43:07.963Z,0,0,116,233,2,2,193,140,21,0
1,Global - Kevin's Comments,086969f3-9c9e-4c6f-9023-3fc3946cf27d,-1,2025-06-23T10:56:50.423Z,0,0,103,202,1,1,183,129,5,0
1,Global - SPF Creators (Signups),94f592be-2132-4a03-93a3-2f508224b8a8,1,2025-06-17T10:24:39.932Z,90,89,91,181,5,5,235,150,1,0
1,Global Influencer Videos- New Leads (September),4037428a-c058-4dbc-b24f-f2f543c9f44d,1,2026-09-01T08:14:08.577Z,141,1,87,173,1,1,13,4,0,0
1,Manychat Agencies,ff28a635-719c-45a2-b25b-a92a22b0286c,3,2025-09-13T12:38:05.922Z,10,10,89,171,1,1,134,82,8,0
1,global SMBs,df138322-ef8f-4fb3-b849-f5cf60c9c809,3,2026-07-31T11:01:18.134Z,44,44,44,162,12,11,136,91,0,0
1,SuperProfile- ACTIVE SAAS ,fe559a2b-55fa-4e18-a8ca-cf89f0dc5617,3,2026-07-27T10:18:30.102Z,45,45,45,155,12,12,131,92,0,0
1,IG Commenters – Laurelle Baxter ManyChat Trial Reel (DbGwK1rR_cL),eddaf11d-f12f-4f48-b4d9-e2901ed2f7ab,1,2026-09-01T15:52:59.002Z,113,0,69,151,0,0,15,5,0,0
1,IG Commenters – Nana DelRey ManyChat Setup Post (DVQkqOZCCny),08035118-d8ef-47f2-bf87-b7edfe4c0534,1,2026-09-01T14:10:24.814Z,75,1,75,149,1,1,16,7,1,0
